Raw summary for fig4_smooth_all_metrics_evolution.png and fig5_acute_all_metrics_evolution.png
Date: 2026-03-29
Source: paper_formula_cfl095_eps25_dynsign
Note: raw rows only; no averaging or aggregation.
Legend mapping: data02_001_batch256 -> CFL=0.1, data02_002_batch256 -> CFL=0.2, data02_004_batch256 -> CFL=0.4, data02_005_batch256 -> CFL=0.5

[test] Numerical | model=baseline_numerical | curvature=expanded_formula | nodes=current_interface_nodes | source=paper_formula_cfl095_eps25_dynsign

group_id  rho_model  step_or_iter  N_samples       MAE_hk     MaxAE_hk       MSE_hk
smooth/smooth_266        266             5        552 1.075987e-03 9.290185e-03 2.237493e-06
smooth/smooth_266        266            10        552 6.345967e-04 6.676641e-03 8.179907e-07
smooth/smooth_266        266            20        552 6.074122e-04 5.977136e-03 7.639319e-07
smooth/smooth_276        276             5        564 1.032874e-03 7.115729e-03 2.035782e-06
smooth/smooth_276        276            10        564 6.118420e-04 4.710376e-03 7.308686e-07
smooth/smooth_276        276            20        564 5.844651e-04 4.408220e-03 6.677031e-07
  acute/acute_256        256             5        624 2.560581e-03 4.322911e-02 2.841183e-05
  acute/acute_256        256            10        624 2.029794e-03 5.069403e-02 2.639900e-05
  acute/acute_256        256            20        624 1.991269e-03 5.522729e-02 2.981456e-05
  acute/acute_266        266             5        648 2.436524e-03 4.290873e-02 2.572659e-05
  acute/acute_266        266            10        648 1.876969e-03 4.283925e-02 2.124574e-05
  acute/acute_266        266            20        648 1.843567e-03 4.445334e-02 2.367138e-05
  acute/acute_276        276             5        672 2.144205e-03 4.891168e-02 1.924682e-05
  acute/acute_276        276            10        672 1.587587e-03 4.032572e-02 1.462226e-05
  acute/acute_276        276            20        672 1.600703e-03 3.825551e-02 1.649010e-05
